,Symbol,Contract,Date,Open,High,Low,Close,Volume
2445,TX,201704,2017/3/21,9926,9980,9916,9962,233574
2450,TX,201705,2017/3/21,9926,9967,9906,9950,4086
2454,TX,201704,2017/3/22,9890,9907,9851,9898,261856
2459,TX,201705,2017/3/22,9880,9893,9838,9884,5708
2464,TX,201704,2017/3/23,9941,9952,9879,9909,248902
2468,TX,201705,2017/3/23,9923,9937,9868,9899,4540
2472,TX,201704,2017/3/24,9927,9928,9883,9901,200582
2477,TX,201705,2017/3/24,9914,9915,9872,9888,3254
2483,TX,201704,2017/3/27,9878,9917,9844,9865,242182
2487,TX,201705,2017/3/27,9870,9903,9834,9854,5244
2493,TX,201704,2017/3/28,9920,9927,9805,9883,360538
2497,TX,201705,2017/3/28,9905,9914,9795,9872,8656
2503,TX,201704,2017/3/29,9902,9904,9851,9862,224280
2507,TX,201705,2017/3/29,9895,9895,9840,9850,4846
2511,TX,201704,2017/3/30,9864,9888,9834,9850,203388
2513,TX,201705,2017/3/30,9850,9875,9824,9839,4444
2517,TX,201704,2017/3/31,9858,9872,9812,9821,195764
2520,TX,201705,2017/3/31,9849,9860,9803,9811,4920
2525,TX,201704,2017/4/5,9849,9968,9843,9961,276418
2530,TX,201705,2017/4/5,9837,9956,9833,9951,9602
2534,TX,201704,2017/4/6,9930,9941,9880,9897,220536
2538,TX,201705,2017/4/6,9922,9929,9873,9889,6288
2543,TX,201704,2017/4/7,9903,9905,9772,9863,404996
2548,TX,201705,2017/4/7,9891,9897,9765,9851,14024
2552,TX,201704,2017/4/10,9868,9892,9843,9876,187472
2557,TX,201705,2017/4/10,9860,9883,9837,9868,6306
2561,TX,201704,2017/4/11,9866,9895,9807,9816,313300
2564,TX,201705,2017/4/11,9861,9886,9801,9810,12630
2568,TX,201704,2017/4/12,9818,9830,9776,9814,239006
2572,TX,201705,2017/4/12,9808,9822,9770,9807,10612
2576,TX,201704,2017/4/13,9802,9869,9792,9846,282240
2580,TX,201705,2017/4/13,9790,9858,9785,9838,15254
2584,TX,201704,2017/4/14,9806,9808,9711,9716,327348
2588,TX,201705,2017/4/14,9802,9803,9702,9708,23406
2592,TX,201704,2017/4/17,9740,9754,9680,9722,273866
2597,TX,201705,2017/4/17,9724,9745,9675,9713,39210
2603,TX,201704,2017/4/18,9757,9772,9721,9737,209500
2608,TX,201705,2017/4/18,9756,9764,9712,9726,49818
2616,TX,201704,2017/4/19,9700,9707,9632,9638,202894
2618,TX,201705,2017/4/19,9692,9696,9615,9625,153468
2624,TX,201705,2017/4/20,9598,9640,9584,9615,228414
2629,TX,201706,2017/4/20,9577,9625,9572,9603,3988
2635,TX,201705,2017/4/21,9665,9706,9655,9697,219886
2638,TX,201706,2017/4/21,9659,9692,9643,9683,3788
2642,TX,201705,2017/4/24,9747,9766,9684,9705,249144
2646,TX,201706,2017/4/24,9729,9751,9671,9690,5270
2651,TX,201705,2017/4/25,9746,9827,9728,9813,278684
2655,TX,201706,2017/4/25,9735,9813,9714,9800,6246
2660,TX,201705,2017/4/26,9855,9871,9826,9841,240712
2665,TX,201706,2017/4/26,9845,9856,9813,9827,4422
2669,TX,201705,2017/4/27,9829,9850,9808,9839,188974
2673,TX,201706,2017/4/27,9819,9837,9796,9827,3696
2677,TX,201705,2017/4/28,9847,9884,9834,9857,213098
2682,TX,201706,2017/4/28,9834,9869,9822,9843,3944
2686,TX,201705,2017/5/2,9899,9950,9897,9932,208504
2691,TX,201706,2017/5/2,9880,9934,9880,9917,5416
2695,TX,201705,2017/5/3,9946,9966,9934,9936,154602
2698,TX,201706,2017/5/3,9939,9950,9920,9923,3548
2702,TX,201705,2017/5/4,9951,9965,9918,9959,173756
2707,TX,201706,2017/5/4,9934,9949,9906,9944,4004
2714,TX,201705,2017/5/5,9946,9951,9879,9889,218830
2719,TX,201706,2017/5/5,9932,9934,9864,9872,5738
2724,TX,201705,2017/5/8,9929,9959,9895,9921,207000
2729,TX,201706,2017/5/8,9909,9943,9881,9907,6204
2735,TX,201705,2017/5/9,9916,9994,9898,9904,330334
2740,TX,201706,2017/5/9,9904,9978,9884,9892,15386
2744,TX,201705,2017/5/10,9938,9959,9918,9947,184746
2747,TX,201706,2017/5/10,9928,9944,9906,9936,8884
2751,TX,201705,2017/5/11,9962,9997,9946,9987,238528
2756,TX,201706,2017/5/11,9950,9980,9933,9976,15258
2760,TX,201705,2017/5/12,9982,9996,9966,9981,166350
2764,TX,201706,2017/5/12,9972,9981,9952,9969,18370
2768,TX,201705,2017/5/15,9990,10038,9975,10038,172608
2773,TX,201706,2017/5/15,9973,10023,9966,10023,23474
2777,TX,201705,2017/5/16,10036,10054,10000,10022,191068
2781,TX,201706,2017/5/16,10024,10043,9991,10007,50730
2785,TX,201705,2017/5/17,10020,10022,9975,10000,138534
2788,TX,201706,2017/5/17,10007,10009,9930,9940,130980
2793,TX,201706,2017/5/18,9940,9959,9878,9942,282996
2796,TX,201707,2017/5/18,9729,9764,9684,9751,4432
2800,TX,201706,2017/5/19,9943,9973,9930,9951,162186
2803,TX,201707,2017/5/19,9763,9778,9738,9756,2304
2808,TX,201706,2017/5/22,9965,9984,9942,9981,174638
2812,TX,201707,2017/5/22,9772,9787,9747,9784,3176
2816,TX,201706,2017/5/23,9981,10017,9968,10006,202258
2821,TX,201707,2017/5/23,9789,9820,9773,9811,3382
2825,TX,201706,2017/5/24,10006,10033,9998,10028,164506
2827,TX,201707,2017/5/24,9812,9837,9805,9834,2878
2831,TX,201706,2017/5/25,10028,10137,10027,10126,210312
2834,TX,201707,2017/5/25,9835,9940,9834,9931,5180
2838,TX,201706,2017/5/26,10126,10133,10080,10088,214914
2842,TX,201707,2017/5/26,9931,9942,9886,9895,4886
2846,TX,201706,2017/5/31,10085,10105,10004,10014,230682
2850,TX,201707,2017/5/31,9893,9911,9822,9828,4572
2854,TX,201706,2017/6/1,10015,10079,10009,10078,178096
2858,TX,201707,2017/6/1,9830,9895,9827,9894,3994
2862,TX,201706,2017/6/2,10078,10146,10076,10145,199460
2867,TX,201707,2017/6/2,9894,9961,9892,9961,4954
2871,TX,201706,2017/6/3,10145,10160,10137,10157,49718
2874,TX,201707,2017/6/3,9958,9974,9953,9970,1486
2878,TX,201706,2017/6/5,10148,10210,10115,10205,223494
2882,TX,201707,2017/6/5,9968,10025,9932,10017,6536
2886,TX,201706,2017/6/6,10206,10207,10170,10186,137190
2889,TX,201707,2017/6/6,10022,10022,9987,9999,3802
2893,TX,201706,2017/6/7,10186,10229,10165,10191,234264
2896,TX,201707,2017/6/7,10001,10043,9983,10011,6948
2900,TX,201706,2017/6/8,10191,10221,10182,10220,155742
2904,TX,201707,2017/6/8,10007,10042,10001,10040,4398
2908,TX,201706,2017/6/9,10220,10252,10186,10202,216082
2912,TX,201707,2017/6/9,10040,10071,10008,10026,6508
2916,TX,201706,2017/6/12,10129,10159,10083,10101,238790
2920,TX,201707,2017/6/12,9950,9980,9907,9923,8324
2925,TX,201706,2017/6/13,10101,10143,10090,10139,193656
2928,TX,201707,2017/6/13,9923,9965,9915,9961,7554
2932,TX,201706,2017/6/14,10139,10165,10021,10072,353368
2936,TX,201707,2017/6/14,9962,9987,9846,9893,17992
2940,TX,201706,2017/6/15,10072,10075,10018,10052,244472
2944,TX,201707,2017/6/15,9893,9895,9840,9870,15846
2948,TX,201706,2017/6/16,10051,10159,10047,10144,266730
2951,TX,201707,2017/6/16,9870,9978,9867,9965,25096
2955,TX,201706,2017/6/19,10164,10271,10160,10271,217512
2959,TX,201707,2017/6/19,9989,10098,9984,10098,41774
2963,TX,201706,2017/6/20,10271,10353,10268,10312,250772
2968,TX,201707,2017/6/20,10098,10185,10098,10148,71262
2972,TX,201706,2017/6/21,10311,10371,10267,10369,190454
2975,TX,201707,2017/6/21,10148,10204,10103,10197,177748
2979,TX,201707,2017/6/22,10198,10234,10174,10227,246594
2981,TX,201708,2017/6/22,10098,10131,10070,10125,3294
2985,TX,201707,2017/6/23,10227,10245,10182,10198,220524
2990,TX,201708,2017/6/23,10123,10141,10086,10093,3252
2995,TX,201707,2017/6/26,10207,10423,10202,10393,396838
2999,TX,201708,2017/6/26,10098,10326,10098,10296,7008
3005,TX,201707,2017/6/27,10393,10412,10339,10347,247450
3010,TX,201708,2017/6/27,10299,10316,10240,10247,5470
3017,TX,201707,2017/6/28,10347,10351,10247,10303,352490
3021,TX,201708,2017/6/28,10245,10246,10146,10196,7216
3025,TX,201707,2017/6/29,10303,10356,10215,10222,294770
3030,TX,201708,2017/6/29,10195,10250,10115,10124,6628
3034,TX,201707,2017/6/30,10222,10280,10196,10256,289304
3039,TX,201708,2017/6/30,10120,10177,10095,10150,6274
3043,TX,201707,2017/7/3,10260,10319,10231,10306,231434
3047,TX,201708,2017/7/3,10162,10216,10130,10206,4608
3053,TX,201707,2017/7/4,10306,10308,10209,10221,295036
3056,TX,201708,2017/7/4,10200,10204,10108,10120,5794
3060,TX,201707,2017/7/5,10221,10318,10171,10306,353620
3065,TX,201708,2017/7/5,10116,10210,10066,10202,7690
3070,TX,201707,2017/7/6,10306,10329,10218,10233,293278
3072,TX,201708,2017/7/6,10199,10221,10115,10129,6366
