,Strike Price,Date,Open,High,Low,Close,Volume
14994,10500,2018-05-14,50.0,53.0,38.5,40.5,6134.0
14995,10600,2018-05-14,76.0,76.0,51.0,55.0,7806.0
14996,10700,2018-05-14,88.0,97.0,71.0,75.0,6866.0
14997,10800,2018-05-14,120.0,130.0,97.0,101.0,4958.0
14998,10900,2018-05-14,162.0,174.0,132.0,135.0,3428.0
14999,11000,2018-05-14,216.0,227.0,178.0,183.0,2966.0
15000,11100,2018-05-14,277.0,289.0,235.0,236.0,456.0
15001,11200,2018-05-14,351.0,360.0,302.0,309.0,222.0
15002,11300,2018-05-14,434.0,434.0,385.0,387.0,40.0
15003,11400,2018-05-14,530.0,540.0,467.0,469.0,64.0
15004,11600,2018-05-14,660.0,660.0,660.0,660.0,4.0
15005,8200,2018-05-14,1.7,1.9,1.6,1.9,1364.0
15006,8300,2018-05-14,1.7,1.8,1.6,1.7,124.0
15007,8400,2018-05-14,2.0,2.0,1.9,1.9,140.0
15008,8500,2018-05-14,2.3,2.5,2.2,2.5,56.0
15009,8600,2018-05-14,2.5,2.8,2.3,2.8,122.0
15010,8700,2018-05-14,2.7,2.8,2.6,2.8,76.0
15011,8800,2018-05-14,2.9,3.1,2.9,3.1,122.0
15012,8900,2018-05-14,3.6,3.6,3.3,3.3,68.0
15013,9000,2018-05-14,4.0,4.0,3.7,3.7,226.0
15014,9100,2018-05-14,4.0,4.2,3.8,4.1,242.0
15015,9200,2018-05-14,4.9,4.9,4.6,4.6,306.0
15016,9300,2018-05-14,5.1,5.6,5.0,5.2,1898.0
15017,9400,2018-05-14,6.4,6.4,5.6,6.2,1602.0
15018,9500,2018-05-14,7.1,7.7,6.3,7.0,162.0
15019,9600,2018-05-14,8.0,8.5,7.3,8.0,414.0
15020,9700,2018-05-14,9.7,10.5,8.0,8.0,1160.0
15021,9800,2018-05-14,11.5,14.5,9.7,10.0,1446.0
15022,9900,2018-05-14,13.0,13.5,10.5,10.5,718.0
15023,10000,2018-05-15,14.0,20.0,12.5,18.0,3526.0
15024,10100,2018-05-15,15.0,23.0,14.5,21.0,1558.0
15025,10200,2018-05-15,18.5,30.0,17.5,27.0,3658.0
15026,10300,2018-05-15,23.5,39.5,21.0,35.0,5340.0
15027,10400,2018-05-15,29.5,50.0,28.0,46.5,5768.0
15028,10500,2018-05-15,40.5,66.0,38.0,63.0,9018.0
15029,10600,2018-05-15,55.0,88.0,52.0,83.0,8818.0
15030,10700,2018-05-15,74.0,120.0,70.0,108.0,9740.0
15031,10800,2018-05-15,98.0,158.0,97.0,152.0,7990.0
15032,10900,2018-05-15,135.0,208.0,133.0,198.0,4110.0
15033,11000,2018-05-15,178.0,271.0,176.0,253.0,7086.0
15034,11100,2018-05-15,236.0,335.0,235.0,324.0,728.0
15035,11200,2018-05-15,307.0,421.0,307.0,400.0,130.0
15036,11300,2018-05-15,402.0,500.0,402.0,490.0,44.0
15037,11400,2018-05-15,480.0,600.0,480.0,600.0,166.0
15038,11500,2018-05-15,600.0,600.0,600.0,600.0,2.0
15039,8200,2018-05-15,1.6,1.9,1.5,1.9,440.0
15040,8300,2018-05-15,1.7,1.8,1.6,1.7,190.0
15041,8400,2018-05-15,1.8,2.0,1.8,2.0,152.0
15042,8500,2018-05-15,2.1,2.3,2.1,2.1,98.0
15043,8600,2018-05-15,2.4,2.5,2.2,2.4,246.0
15044,8700,2018-05-15,2.7,2.7,2.6,2.6,234.0
15045,8800,2018-05-15,3.0,3.1,2.9,3.0,288.0
15046,8900,2018-05-15,3.3,3.4,3.2,3.2,374.0
15047,9000,2018-05-15,4.0,4.0,3.7,4.0,172.0
15048,9100,2018-05-15,4.1,4.2,3.8,3.8,330.0
15049,9200,2018-05-15,4.8,4.9,4.5,4.9,482.0
15050,9300,2018-05-15,5.1,5.2,4.9,4.9,896.0
15051,9400,2018-05-15,6.0,6.3,5.6,6.1,848.0
15052,9500,2018-05-15,6.5,7.5,6.4,7.5,194.0
15053,9600,2018-05-15,8.0,10.0,7.3,9.7,264.0
15054,9700,2018-05-15,7.6,10.0,7.6,10.0,330.0
15055,9800,2018-05-15,9.9,12.5,9.4,12.5,454.0
15056,9900,2018-05-15,10.5,15.0,10.5,14.5,1986.0
15057,10000,2018-05-16,19.0,20.0,14.0,16.0,4082.0
15058,10100,2018-05-16,22.0,24.0,16.5,17.0,1606.0
15059,10200,2018-05-16,29.5,30.0,20.5,20.5,4354.0
15060,10300,2018-05-16,36.0,37.0,27.0,28.0,4814.0
15061,10400,2018-05-16,46.5,48.5,35.0,36.5,9256.0
15062,10500,2018-05-16,63.0,66.0,46.5,47.0,7782.0
15063,10600,2018-05-16,83.0,88.0,62.0,64.0,7824.0
15064,10700,2018-05-16,114.0,118.0,84.0,86.0,7872.0
15065,10800,2018-05-16,154.0,155.0,114.0,115.0,10478.0
15066,10900,2018-05-16,198.0,204.0,153.0,156.0,4204.0
15067,11000,2018-05-16,261.0,263.0,203.0,213.0,2274.0
15068,11100,2018-05-16,339.0,339.0,270.0,277.0,1046.0
15069,11200,2018-05-16,382.0,382.0,348.0,352.0,202.0
15070,11300,2018-05-16,460.0,467.0,434.0,438.0,32.0
15071,11400,2018-05-16,560.0,560.0,530.0,535.0,36.0
15072,11600,2018-05-16,730.0,730.0,730.0,730.0,2.0
15073,12000,2018-05-16,1130.0,1130.0,1130.0,1130.0,4.0
15074,12100,2018-05-16,1240.0,1240.0,1240.0,1240.0,2.0
15075,8200,2018-05-16,1.9,2.3,1.7,1.9,1670.0
15076,8300,2018-05-16,2.0,2.3,2.0,2.2,2992.0
15077,8400,2018-05-16,2.2,2.3,2.2,2.3,2372.0
15078,8500,2018-05-16,2.3,2.6,2.2,2.3,916.0
15079,8600,2018-05-16,2.5,2.8,2.5,2.8,44.0
15080,8700,2018-05-16,2.7,3.0,2.7,3.0,276.0
15081,8800,2018-05-16,3.1,3.3,3.0,3.1,224.0
15082,8900,2018-05-16,3.4,3.9,3.3,3.4,658.0
15083,9000,2018-05-16,3.9,4.1,3.8,4.1,510.0
15084,9100,2018-05-16,4.3,4.4,4.1,4.4,306.0
15085,9200,2018-05-16,4.9,5.1,4.5,4.6,268.0
15086,9300,2018-05-16,5.5,5.5,5.1,5.2,1964.0
15087,9400,2018-05-16,6.5,6.5,5.7,5.7,894.0
15088,9500,2018-05-16,7.4,7.4,6.0,6.7,406.0
15089,9600,2018-05-16,8.7,8.8,7.0,7.0,602.0
15090,9700,2018-05-16,10.0,10.5,8.7,9.0,394.0
15091,9800,2018-05-16,13.0,13.0,9.6,9.6,998.0
15092,9900,2018-05-16,15.0,15.0,11.0,11.5,666.0
15093,10000,2018-05-17,45.0,58.0,43.5,57.0,850.0
15094,10100,2018-05-17,56.0,70.0,55.0,66.0,178.0
15095,10200,2018-05-17,79.0,89.0,69.0,87.0,696.0
15096,10300,2018-05-17,102.0,114.0,85.0,110.0,226.0
15097,10400,2018-05-17,130.0,141.0,109.0,138.0,318.0
15098,10500,2018-05-17,159.0,178.0,139.0,178.0,258.0
15099,10600,2018-05-17,192.0,224.0,176.0,211.0,168.0
15100,10700,2018-05-17,236.0,278.0,219.0,257.0,198.0
15101,10800,2018-05-17,273.0,332.0,273.0,332.0,200.0
15102,10900,2018-05-17,339.0,407.0,339.0,390.0,128.0
15103,11000,2018-05-17,419.0,447.0,419.0,435.0,64.0
15104,11100,2018-05-17,483.0,525.0,483.0,525.0,86.0
15105,11300,2018-05-17,695.0,695.0,695.0,695.0,4.0
15106,11400,2018-05-17,785.0,785.0,785.0,785.0,2.0
15107,11500,2018-05-17,880.0,880.0,880.0,880.0,2.0
15108,8900,2018-05-17,10.0,11.5,8.0,8.0,90.0
15109,9000,2018-05-17,12.0,1070.0,1.9,1.9,122.0
15110,9100,2018-05-17,14.0,14.0,14.0,14.0,2.0
15111,9200,2018-05-17,15.0,15.0,14.5,15.0,8.0
15112,9300,2018-05-17,16.0,17.0,16.0,17.0,36.0
15113,9400,2018-05-17,19.0,21.0,18.0,21.0,116.0
15114,9500,2018-05-17,21.5,22.5,20.0,22.5,192.0
15115,9600,2018-05-17,23.0,26.0,23.0,26.0,364.0
15116,9700,2018-05-17,27.5,31.5,27.5,31.5,28.0
15117,9800,2018-05-17,35.0,35.0,31.0,33.0,238.0
15118,9900,2018-05-17,35.5,47.5,35.5,45.0,834.0
15119,10000,2018-05-18,54.0,55.0,46.0,53.0,666.0
15120,10100,2018-05-18,69.0,69.0,61.0,69.0,92.0
15121,10200,2018-05-18,87.0,87.0,74.0,85.0,314.0
15122,10300,2018-05-18,100.0,112.0,91.0,112.0,196.0
15123,10400,2018-05-18,123.0,136.0,118.0,136.0,592.0
15124,10500,2018-05-18,158.0,179.0,153.0,174.0,224.0
15125,10600,2018-05-18,198.0,222.0,193.0,222.0,64.0
15126,10700,2018-05-18,247.0,273.0,239.0,273.0,38.0
15127,10800,2018-05-18,295.0,330.0,290.0,330.0,114.0
15128,10900,2018-05-18,370.0,376.0,360.0,370.0,294.0
15129,11000,2018-05-18,443.0,468.0,428.0,455.0,230.0
15130,11100,2018-05-18,530.0,555.0,525.0,555.0,10.0
15131,11200,2018-05-18,605.0,645.0,605.0,640.0,32.0
15132,11300,2018-05-18,710.0,720.0,695.0,720.0,28.0
15133,11400,2018-05-18,805.0,830.0,805.0,815.0,6.0
15134,11500,2018-05-18,895.0,925.0,895.0,925.0,4.0
15135,11600,2018-05-18,995.0,1020.0,995.0,1020.0,24.0
15136,8900,2018-05-18,10.0,10.5,10.0,10.5,22.0
15137,9000,2018-05-18,12.0,12.5,11.0,12.5,98.0
15138,9100,2018-05-18,13.0,13.0,13.0,13.0,4.0
15139,9200,2018-05-18,15.5,15.5,14.0,15.5,16.0
15140,9300,2018-05-18,17.0,17.0,17.0,17.0,2.0
15141,9400,2018-05-18,19.5,19.5,18.5,18.5,6.0
15142,9500,2018-05-18,20.5,22.0,20.5,21.5,16.0
15143,9600,2018-05-18,24.5,25.5,22.5,24.5,240.0
15144,9700,2018-05-18,27.0,30.0,27.0,30.0,38.0
15145,9800,2018-05-18,33.0,36.0,32.0,36.0,296.0
